BadName;Prob_Datum;Escherichia coli<br> (KBE/ 100 ml);Intestinale Enterokokken<br> (KBE/ 100 ml);Coliforme Bakterien <br>(KBE/ 100 ml);Sichttiefe <br> (m);Cyanobakterien Chl a <br>(µg/ l);Wassertemperatur <br> (°C);Aktuelle Warnhinweise;Weitere Informationen;Farbe
Tegeler See, Saatwinkel;18.05.2026;<15;<15;<300;> 1;0,2;15;keine;Wasserpflanzenansammlungen am Ufer meiden – können toxinbildende Blaualgen anhaften!;gruen
Tegeler See, Reiherwerder;18.05.2026;<15;30;360;>1,50;0,3;15,7;keine;Wasserpflanzenansammlungen am Ufer meiden – können toxinbildende Blaualgen anhaften!;gruen
Kleine Badewiese;19.05.2026;<15;<15;<300;1,9;0;16,4;keine;keine;gruen_pognose
Grunewaldturm;19.05.2026;<15;<15;<300;2,9;0,3;16,4;keine;keine;gruen_pognose
Lieper Bucht;19.05.2026;<15;<15;<300;4,1;0,5;16,2;keine;keine;gruen_pognose
Breitehorn;19.05.2026;<15;<15;<300;2,5;0,4;16,3;keine;keine;gruen_pognose
Große Steinlanke;19.05.2026;15;<15;<300;4,1;0,5;15,8;keine;keine;gruen
Alter Hof;19.05.2026;<15;<15;<300;3,1;0,3;15,6;keine;keine;gruen
Radfahrerwiese;19.05.2026;<15;<15;<300;3,9;0,5;16;keine;keine;gruen_pognose
Wannsee, Strandbad;19.05.2026;<15;<15;<300;1,9;0,5;15,7;keine;keine;gruen
Teufelssee;21.05.2026;46;<15;<300;> 1;0;16,5;keine;keine;gruen
Krumme Lanke;21.05.2026;<15;15;<300;> 1;0;18,1;keine;keine;gruen
Schlachtensee;21.05.2026;<15;<15;<300;> 1;0;17,8;keine;keine;gruen
Weißensee, Strandbad;26.05.2026;<15;<15;<300;> 1;0,8;21,9;keine;keine;gruen
Orankesee, Strandbad;26.05.2026;159;<15;360;1,7;0;22,5;keine;keine;gruen
Plötzensee, Strandbad;26.05.2026;<15;<15;<300;1,7;1,9;20,6;keine;keine;gruen
Flughafensee;26.05.2026;<15;15;<300;n.a.;1,1;21,6;keine;keine;gruen
Jungfernheide, Strandbad;26.05.2026;15;<15;<300;1,8;0;21,1;keine;Zerkarien möglich;gruen
Heiligensee, Strandbad;26.05.2026;<15;<15;<300;5;0;22;keine;keine;gruen
Lübars, Strandbad (Ziegeleisee);26.05.2026;15;15;<300;3,9;0,6;21,1;keine;keine;gruen
Dämeritzsee;27.05.2026;<15;<15;<300;1,2;0;21,3;keine;keine;gruen
Kleiner Müggelsee;27.05.2026;15;15;<300;2,1;0,3;21,4;keine;keine;gruen
Müggelsee, Strandbad;27.05.2026;<15;<15;<300;3,2;0,3;21;keine;keine;gruen
Friedrichshagen, Strandbad;27.05.2026;<15;<15;<300;2;0,2;20,2;keine;keine;gruen
Schmöckwitz;27.05.2026;<15;<15;<300;1;1,1;21,1;keine;keine;gruen
Seddinsee;27.05.2026;<15;<15;<300;2,2;0,5;21,2;keine;keine;gruen
Große Krampe;27.05.2026;15;<15;<300;1,5;0,3;21,5;keine;keine;gruen
Bammelecke;27.05.2026;<15;<15;<300;2,7;0,5;20,3;keine;keine;gruen
Grünau, Strandbad;27.05.2026;<15;<15;<300;2,6;0,6;20,2;keine;keine;gruen
Wendenschloss, Strandbad;27.05.2026;<15;<15;<300;1,9;0,5;20,5;keine;keine;gruen
Gartenstraße, Flussbad;27.05.2026;<15;<15;<300;1,8;0,2;21;keine;keine;gruen
Halensee, Strandbad;28.05.2026;<15;<15;<300;>1,60;0;21,5;keine;keine;gruen
Groß Glienicker See, nördlich;28.05.2026;<15;<15;<300;>1,00;2,5;21;keine;keine;gruen
Groß Glienicker See, südlich;28.05.2026;309;<15;360;>1,00;2,6;21,5;keine;keine;gruen
Kleine Badewiese;28.05.2026;15;<15;<300;>1,00;0,3;21;keine;keine;gruen_pognose
Grunewaldturm;28.05.2026;<15;<15;<300;<1,70;0,3;20,4;keine;keine;gruen_pognose
Lieper Bucht;28.05.2026;<15;15;<300;> 1;0,3;20,1;keine;keine;gruen_pognose
Breitehorn;28.05.2026;232;<15;360;>1,00;0;21,2;keine;keine;gruen_pognose
Radfahrerwiese;28.05.2026;<15;30;<300;> 1;0,4;20;keine;keine;gruen_pognose
Sandhauser Straße;01.06.2026;<15;<15;<300;1;1,4;21;keine;keine;gruen
Bürgerablage;01.06.2026;<15;<15;<300;1,2;1,3;21,4;keine;keine;gruen
Tegeler See, Strandbad;01.06.2026;15;<15;<300;>1,70;0;21,4;keine;Wasserpflanzenansammlungen am Ufer meiden – können toxinbildende Blaualgen anhaften!;gruen
Tegeler See, gegenüber Scharfenberg;01.06.2026;<15;<15;<300;>1,90;0,1;21,3;keine;Wasserpflanzenansammlungen am Ufer meiden – können toxinbildende Blaualgen anhaften!;gruen
Tegeler See, gegenüber Reiswerder;01.06.2026;15;<15;<300;1,3;0;20,8;keine;keine;gruen
Tegeler See, Saatwinkel;01.06.2026;<15;15;910;;0,8;21;keine;Wasserpflanzenansammlungen am Ufer meiden – können toxinbildende Blaualgen anhaften!;gruen
Tegeler See, Reiherwerder;01.06.2026;<15;<15;<300;> 1;0;21;keine;Wasserpflanzenansammlungen am Ufer meiden – können toxinbildende Blaualgen anhaften!;gruen
Kleine Badewiese;02.06.2026;<15;<15;<300;2;0,6;21,8;keine;keine;gruen_pognose
Grunewaldturm;02.06.2026;<15;<15;<300;1,7;0,8;21,6;keine;keine;gruen_pognose
Lieper Bucht;02.06.2026;<15;<15;<300;3;0,9;21,3;keine;keine;gruen_pognose
Breitehorn;02.06.2026;<15;<15;<300;2,7;0,6;21,9;keine;keine;gruen_pognose
Große Steinlanke;02.06.2026;<15;<15;<300;3,3;0,7;21,3;keine;keine;gruen
Alter Hof;02.06.2026;<15;<15;<300;1,7;0,1;21,8;keine;keine;gruen
Radfahrerwiese;02.06.2026;<15;<15;<300;2,2;0,8;21,8;keine;keine;gruen_pognose
Wannsee, Strandbad;02.06.2026;<15;<15;<300;>2,10;0,5;21,9;keine;keine;gruen
Teufelssee;03.06.2026;30;<15;<300;> 1;0;20,5;keine;Zerkarien möglich;gruen
Krumme Lanke;03.06.2026;93;<15;<300;> 1;0,1;21,5;keine;keine;gruen
Schlachtensee;03.06.2026;61;<15;360;> 1;0;21,5;keine;Zerkarien möglich;gruen
Dämeritzsee;09.06.2026;<15;<15;<300;0,7;0,4;20,3;keine;keine;gruen
Kleiner Müggelsee;09.06.2026;77;<15;<300;1,4;1,1;20,9;keine;keine;gruen
Müggelsee, Strandbad;09.06.2026;<15;<15;<300;2,2;0,3;19,3;keine;keine;gruen
Friedrichshagen, Strandbad;09.06.2026;<15;15;<300;2,2;0,3;20,9;keine;keine;gruen
Schmöckwitz;09.06.2026;<15;<15;<300;0,8;4,7;21,5;keine;keine;gruen
Seddinsee;09.06.2026;<15;15;<300;1,4;1,4;20,3;keine;keine;gruen
Große Krampe;09.06.2026;30;<15;<300;1,2;1,2;21,5;keine;keine;gruen
Bammelecke;09.06.2026;<15;<15;<300;1,2;1,3;20,4;keine;keine;gruen
Grünau, Strandbad;09.06.2026;<15;<15;<300;1,1;1,3;21,3;keine;keine;gruen
Wendenschloss, Strandbad;09.06.2026;15;<15;<300;1,1;1,1;21,4;keine;keine;gruen
Gartenstraße, Flussbad;09.06.2026;<15;<15;<300;1,7;0,4;21;keine;keine;gruen
Weißensee, Strandbad;10.06.2026;15;15;<300;>1,40;9,4;21,7;keine;Zerkarien möglich;gruen
Orankesee, Strandbad;10.06.2026;<15;15;<300;2,4;0;21,2;keine;keine;gruen
Plötzensee, Strandbad;10.06.2026;<15;<15;<300;>2,70;2,6;20,8;keine;keine;gruen
Flughafensee;10.06.2026;15;<15;<300;> 1;0;21;keine;Zerkarien möglich;gruen
Jungfernheide, Strandbad;10.06.2026;<15;15;<300;>2,20;0,4;20,9;keine;Zerkarien möglich;gruen
Heiligensee, Strandbad;10.06.2026;<15;<15;<300;3;0,4;21,3;keine;keine;gruen
Lübars, Strandbad (Ziegeleisee);10.06.2026;<15;15;<300;4,1;0,1;21,5;keine;keine;gruen
Halensee, Strandbad;11.06.2026;15;<15;<300;>1,70;0;21,1;keine;keine;gruen
Groß Glienicker See, nördlich;11.06.2026;<15;<15;<300;>1,00;17;21,5;Nach Starkregenfällen am Wochenende besteht die Gefahr einer kurzzeitigen mikrobiellen Verschmutzung.;größere Ansammlung von Wasserpflanzen/Pflanzenresten im Spülsaum, leicht eingeschränkte Sichttiefen;gelb
Groß Glienicker See, südlich;11.06.2026;15;<15;<300;>1,00;16;21,6;Nach Starkregenfällen am Wochenende besteht die Gefahr einer kurzzeitigen mikrobiellen Verschmutzung.;größere Ansammlung von Wasserpflanzen/Pflanzenresten im Spülsaum, leicht eingeschränkte Sichttiefen;gelb
Kleine Badewiese;11.06.2026;15;<15;<300;>1,00;0,6;21,1;keine;keine;gruen_pognose
Grunewaldturm;11.06.2026;<15;<15;<300;1;0,4;20,7;keine;keine;gruen_pognose
Lieper Bucht;11.06.2026;<15;<15;<300;>1,00;1,2;19,3;keine;keine;gruen_pognose
Breitehorn;11.06.2026;15;15;<300;>1,00;1,2;21,3;keine;keine;gruen_pognose
Radfahrerwiese;11.06.2026;287;30;360;>1,00;1,2;19,6;keine;keine;gruen_pognose
Sandhauser Straße;15.06.2026;<15;<15;<300;0,8;0,8;18,9;keine;keine;gruen
Bürgerablage;15.06.2026;<15;<15;<300;0,7;0,5;18,8;keine;keine;gruen
Tegeler See, Strandbad;15.06.2026;46;<15;<300;>1,80;0,2;18,3;keine;Wasserpflanzenansammlungen am Ufer meiden – können toxinbildende Blaualgen anhaften!;gruen
Tegeler See, gegenüber Scharfenberg;15.06.2026;<15;<15;<300;>1,90;0,2;18,3;keine;Wasserpflanzenansammlungen am Ufer meiden – können toxinbildende Blaualgen anhaften!;gruen
Tegeler See, gegenüber Reiswerder;15.06.2026;15;<15;<300;>1,30;0,4;17,9;keine;Zerkarien möglich;gruen
Tegeler See, Saatwinkel;15.06.2026;<15;<15;<300;> 1;0,2;18,2;keine;Zerkarien möglich;gruen
Tegeler See, Reiherwerder;15.06.2026;30;<15;<300;> 1;0,1;18,5;keine;Wasserpflanzenansammlungen am Ufer meiden – können toxinbildende Blaualgen anhaften!;gruen
